"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  320  avg =  67.537"
"response","count","percent_responded"
"100","168","52.5"
"0","51","15.94"
"50","11","3.44"
"75","10","3.12"
"10","6","1.88"
"25","6","1.88"
"90","5","1.56"
"98","5","1.56"
"1","4","1.25"
"5","4","1.25"
"80","4","1.25"
"99","4","1.25"
"14","3","0.94"
"12","2","0.62"
"15","2","0.62"
"18","2","0.62"
"30","2","0.62"
"4","2","0.62"
"52","2","0.62"
"6","2","0.62"
"97","2","0.62"
"13","1","0.31"
"17","1","0.31"
"19","1","0.31"
"2","1","0.31"
"23","1","0.31"
"3","1","0.31"
"32","1","0.31"
"33","1","0.31"
"43","1","0.31"
"56","1","0.31"
"65","1","0.31"
"7","1","0.31"
"70","1","0.31"
"8","1","0.31"
"82","1","0.31"
"84","1","0.31"
"86","1","0.31"
"87","1","0.31"
"89","1","0.31"
"9","1","0.31"
"93","1","0.31"
"95","1","0.31"
"96","1","0.31"
