"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  33"
"response","count","percent_responded"
"Pain","19","57.58"
"Sleep/insomnia","15","45.45"
"Anxiety/panic attacks","12","36.36"
"Depression/mood","11","33.33"
"Appetite/weight","6","18.18"
"Aggression","5","15.15"
"Headache","2","6.06"
"Inflammation","2","6.06"
"Skin conditions","2","6.06"
"Spasms","2","6.06"
"Attention/concentration","1","3.03"
"Other (please specify)","1","3.03"
