"q13","Where are the locations of your pain (please check all that apply)","n =  34"
"response","count","percent_responded"
"Lower back","28","82.35"
"General joint pain","19","55.88"
"Hips","18","52.94"
"Neck","16","47.06"
"Shoulder","16","47.06"
"Head/headache","15","44.12"
"Knee","15","44.12"
"Leg","15","44.12"
"Upper back","13","38.24"
"Abdomen","10","29.41"
"Buttocks","10","29.41"
"Generalized muscle pain","10","29.41"
"Hand","10","29.41"
"Wrist","10","29.41"
"Arm","9","26.47"
"Foot","9","26.47"
"Stomach","7","20.59"
"Full body","6","17.65"
"Chest","5","14.71"
"Mouth/dental pain","5","14.71"
"Other (please specify)","4","11.76"
"Face","2","5.88"
"Genitalia","2","5.88"
"Rectum","1","2.94"
