"q13","Where are the locations of your pain (please check all that apply)","n =  56"
"response","count","percent_responded"
"Lower back","43","76.79"
"Knee","35","62.5"
"Neck","32","57.14"
"General joint pain","30","53.57"
"Hips","27","48.21"
"Shoulder","26","46.43"
"Leg","24","42.86"
"Upper back","21","37.5"
"Head/headache","20","35.71"
"Foot","18","32.14"
"Hand","18","32.14"
"Wrist","16","28.57"
"Buttocks","13","23.21"
"Arm","12","21.43"
"Generalized muscle pain","12","21.43"
"Abdomen","8","14.29"
"Full body","8","14.29"
"Stomach","6","10.71"
"Chest","5","8.93"
"Mouth/dental pain","5","8.93"
"Other (please specify)","5","8.93"
"Face","2","3.57"
"Rectum","2","3.57"
"Genitalia","1","1.79"
