"q67","Which VA do you go to?","n =  241"
"response","count","percent_responded"
"None","9","3.73"
"Providence","7","2.9"
"N/A","6","2.49"
"none","5","2.07"
"Togus","4","1.66"
"Worcester","4","1.66"
"Bedford ","3","1.24"
"Leeds","3","1.24"
"n/a","3","1.24"
"Northampton","3","1.24"
"Atlanta","2","0.83"
"Bedford","2","0.83"
"Boston","2","0.83"
"Boston JP","2","0.83"
"Brockton","2","0.83"
"Fitchburg ","2","0.83"
"N/a","2","0.83"
"Newington, CT","2","0.83"
"Pittsburgh","2","0.83"
"Portland","2","0.83"
"Raymond G Murphy","2","0.83"
"Savannah ","2","0.83"
"Aht aht ","1","0.41"
"Alaska","1","0.41"
"Albany, NY","1","0.41"
"Albuquerque ","1","0.41"
"Anne Arbor","1","0.41"
"Asheville, NC","1","0.41"
"Augusta","1","0.41"
"Baton Rouge","1","0.41"
"Bay Pines","1","0.41"
"Baypines Va","1","0.41"
"Beaumont TX","1","0.41"
"bedford","1","0.41"
"Bedford VA Hospital ","1","0.41"
"Bedford va medical ","1","0.41"
"BOHC","1","0.41"
"Boston - JP","1","0.41"
"Boston (JP/West Roxbury)","1","0.41"
"Brockton MA","1","0.41"
"Brockton, J.P. , W. Roxbury","1","0.41"
"Brockton, JP , west roxbury","1","0.41"
"Brockton, Ma","1","0.41"
"Campbell county  va","1","0.41"
"Captain James A lovell federal health care center","1","0.41"
"Captain James A. Federal Health Care Center, North Chicago VA, IL","1","0.41"
"Caribou Maine","1","0.41"
"Central Western MA","1","0.41"
"Chalmers P. Wilie Ambulatory Care Center","1","0.41"
"Charleston VA weapons station ","1","0.41"
"Charlie Norwood va","1","0.41"
"Cincinnati VA","1","0.41"
"Clairmont Rd, decatur","1","0.41"
"Cleveland","1","0.41"
"Colorado VA","1","0.41"
"Davenport, IA ","1","0.41"
"Dayton VAMC","1","0.41"
"DC VAMC","1","0.41"
"Denver ","1","0.41"
"Denver & Golden","1","0.41"
"Detroit","1","0.41"
"Do not go to VA","1","0.41"
"Dorn VA - Columbia, SC","1","0.41"
"Dorn VA in Columbia, SC","1","0.41"
"Downtown Los Angeles ","1","0.41"
"El Paso","1","0.41"
"El Paso, TX","1","0.41"
"Evansville ","1","0.41"
"Fayetteville AR","1","0.41"
"Fayetteville,Ar","1","0.41"
"Fitchburg Outpatient Clinic","1","0.41"
"Fort Myers Florida","1","0.41"
