"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  265"
"response","count","percent_responded"
"Dry mouth","192","72.45"
"Changes in appetite","107","40.38"
"Increased energy","105","39.62"
"More or less talkative","95","35.85"
"Sleepiness/fatigue","61","23.02"
"Changes in libido","37","13.96"
"Memory problems","31","11.7"
"Paranoia","25","9.43"
"Feeling of being ""altered""","24","9.06"
"Heart racing/palpitations","20","7.55"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","20","7.55"
"Racing thoughts","20","7.55"
"Other (please specify)","19","7.17"
"Difficulty concentrating","18","6.79"
"Tough to get started in the morning (lassitude) or ""couch lock""","18","6.79"
"Anxiety","15","5.66"
"Apathy","9","3.4"
"Nausea","8","3.02"
"Dizziness","7","2.64"
"Sweating","7","2.64"
"Headache","6","2.26"
"GI changes (constipation, diarrhea, abdominal discomfort)","5","1.89"
"Depression","4","1.51"
