"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  98"
"response","count","percent_responded"
"Pain","82","83.67"
"Sleep/insomnia","73","74.49"
"Depression/mood","67","68.37"
"Anxiety/panic attacks","48","48.98"
"Attention/concentration","48","48.98"
"Appetite/weight","45","45.92"
"Headache","42","42.86"
"Inflammation","39","39.8"
"Spasms","36","36.73"
"Aggression","33","33.67"
"Nausea/vomiting","21","21.43"
"Skin conditions","15","15.31"
"Respiratory","10","10.2"
"Ocular pressure","9","9.18"
"Mania/psychosis","7","7.14"
"Drug withdrawal","5","5.1"
"Other (please specify)","4","4.08"
"Seizures","3","3.06"
