"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  87"
"response","count","percent_responded"
"Vape cartridges","86","98.85"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","49","56.32"
"Smoke flower","38","43.68"
"Tinctures","25","28.74"
"Vape flower","21","24.14"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","18","20.69"
"Salves/topicals","17","19.54"
"Capsules","9","10.34"
"Other (please specify)","4","4.6"
"Transdermal patches","3","3.45"
"Suppositories","2","2.3"
