"q13","Where are the locations of your pain (please check all that apply)","n =  28"
"response","count","percent_responded"
"Lower back","18","64.29"
"Neck","16","57.14"
"Shoulder","15","53.57"
"Knee","13","46.43"
"Hips","12","42.86"
"General joint pain","11","39.29"
"Upper back","10","35.71"
"Arm","9","32.14"
"Leg","9","32.14"
"Generalized muscle pain","8","28.57"
"Abdomen","7","25"
"Foot","7","25"
"Hand","7","25"
"Head/headache","6","21.43"
"Wrist","6","21.43"
"Full body","5","17.86"
"Buttocks","4","14.29"
"Chest","3","10.71"
"Stomach","2","7.14"
"Face","1","3.57"
