"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  565"
"response","count","percent_responded"
"Chronic pain","210","37.17"
"Posttraumatic stress disorder (PTSD)","143","25.31"
"Anxiety","62","10.97"
"Depression","39","6.9"
"Insomnia","32","5.66"
"Arthritis","20","3.54"
"Cancer","13","2.3"
"Bipolar/manic depression","9","1.59"
"Substance abuse/addiction","7","1.24"
"Fibromyalgia/myositis","5","0.88"
"Hypertension","5","0.88"
"Diabetes","4","0.71"
"Gastrointestinal/digestive system disorders","4","0.71"
"Attention deficit/hyperactivity disorder (ADHD)","3","0.53"
"Multiple sclerosis","3","0.53"
"Cardiovascular disease","2","0.35"
"HIV/AIDS","2","0.35"
"Inflammatory bowel disease (IBD)","1","0.18"
"Respiratory problems","1","0.18"
