"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  79"
"response","count","percent_responded"
"Smoke flower","55","69.62"
"Vape cartridges","53","67.09"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","45","56.96"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","30","37.97"
"Tinctures","24","30.38"
"Vape flower","23","29.11"
"Salves/topicals","17","21.52"
"Capsules","13","16.46"
"Transdermal patches","9","11.39"
"Other (please specify)","2","2.53"
"Suppositories","2","2.53"
