"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  133"
"response","count","percent_responded"
"Money to purchase products","89","66.92"
"Access to the right products","61","45.86"
"Money required to get medical card","57","42.86"
"Owning a firearm","39","29.32"
"Stigma","36","27.07"
"Place to consume cannabis","25","18.8"
"Lack of knowledge","20","15.04"
"Other (please specify)","15","11.28"
"Workplace testing or other policies","10","7.52"
"Previous bad experience","5","3.76"
