"q6","What is the TOP health condition do you find
cannabis to be helpful or most impactful? 
Please select one.","n =  119"
"response","count","percent_responded"
"Chronic and Severe pain","27","22.69"
"Anxiety","25","21.01"
"Depression/mood","19","15.97"
"Insomnia","16","13.45"
"I do not use cannabis for a health condition","7","5.88"
"Post-Traumatic Stress Disorder (PTSD)","7","5.88"
"Nausea/vomiting","4","3.36"
"Fibromyalgia","3","2.52"
"Arthritis","2","1.68"
"Attention Deficit/Hyperactivity Disorder (ADHD)","2","1.68"
"Other (please specify)","2","1.68"
"Cancer","1","0.84"
"HIV/AIDS","1","0.84"
"Inflammatory Bowel Disease (IBD)","1","0.84"
"Migraines","1","0.84"
"Ulcerative colitis","1","0.84"
