"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  79"
"response","count","percent_responded"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","79","100"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","37","46.84"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","32","40.51"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","28","35.44"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","18","22.78"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","17","21.52"
"Muscle relaxants","15","18.99"
"Anti-inflammatories","14","17.72"
"Sedatives/hypnotics","9","11.39"
"I have reduced my prescription medication use in the past","8","10.13"
"Antimigraine","6","7.59"
"Antipsychotics (e.g. Abilify, Seroquel)","5","6.33"
"Barbiturates (e.g. Floricet)","5","6.33"
"Statins (e.g. Lipitor, Crestor)","5","6.33"
"Beta Blockers","4","5.06"
"Other (please specify)","4","5.06"
"I'm not trying to reduce any medication use","3","3.8"
"Steroids, including steroid creams","3","3.8"
"Antihypertensives","2","2.53"
"Hormone replacement therapy (HRT)","2","2.53"
"Antiemetics","1","1.27"
"I don’t take any medications","1","1.27"
"Proton pump inhibitors","1","1.27"
