"q6","What symptoms for the primary condition do you use cannabis to treat? Please select all that apply.","n =  913"
"response","count","percent_responded"
"Anxiety","626","68.57"
"Sleep","622","68.13"
"Pain","584","63.96"
"Depression","484","53.01"
"Inflammation","336","36.8"
"Headache","244","26.73"
"Nausea","227","24.86"
"Attention/concentration","196","21.47"
"Spasms","184","20.15"
"Appetite/weight","158","17.31"
"Aggression","136","14.9"
"Other (please specify)","62","6.79"
"Skin conditions","34","3.72"
"Ocular pressure","26","2.85"
"Mainia/psychosis","24","2.63"
"Drug withdrawl","23","2.52"
"No Symptoms","21","2.3"
"Seizures","17","1.86"
"Respiratory","16","1.75"
