"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  174"
"response","count","percent_responded"
"Anxiety","107","61.49"
"Chronic pain","106","60.92"
"Depression","97","55.75"
"Posttraumatic stress disorder (PTSD)","88","50.57"
"Insomnia","61","35.06"
"Arthritis","54","31.03"
"Gastrointestinal/digestive system disorders","25","14.37"
"Other (please specify)","17","9.77"
"Substance abuse/addiction","17","9.77"
"Attention deficit/hyperactivity disorder (ADHD)","15","8.62"
"Hypertension","15","8.62"
"Inflammatory bowel disease (IBD)","15","8.62"
"Cancer","12","6.9"
"Bipolar/manic depression","10","5.75"
"Respiratory problems","10","5.75"
"Allergies","8","4.6"
"Fibromyalgia/myositis","7","4.02"
"Reflux esophagitis","7","4.02"
"Diabetes","6","3.45"
"Cardiovascular disease","4","2.3"
"Obesity","3","1.72"
"Eczema","1","0.57"
