"q19","What percent of your monthly cannabis purchases are through regulated sources (dispensaries, caregivers, etc.)","n =  442  avg =  78.396"
"response","count","percent_responded"
"100","271","61.31"
"0","36","8.14"
"50","16","3.62"
"90","10","2.26"
"99","8","1.81"
"97","6","1.36"
"98","6","1.36"
"1","5","1.13"
"20","5","1.13"
"25","5","1.13"
"5","5","1.13"
"75","5","1.13"
"80","5","1.13"
"40","4","0.9"
"95","4","0.9"
"10","3","0.68"
"30","3","0.68"
"85","3","0.68"
"27","2","0.45"
"35","2","0.45"
"39","2","0.45"
"45","2","0.45"
"49","2","0.45"
"60","2","0.45"
"7","2","0.45"
"70","2","0.45"
"11","1","0.23"
"13","1","0.23"
"15","1","0.23"
"19","1","0.23"
"2","1","0.23"
"21","1","0.23"
"23","1","0.23"
"26","1","0.23"
"3","1","0.23"
"33","1","0.23"
"34","1","0.23"
"48","1","0.23"
"53","1","0.23"
"54","1","0.23"
"55","1","0.23"
"57","1","0.23"
"64","1","0.23"
"65","1","0.23"
"74","1","0.23"
"79","1","0.23"
"82","1","0.23"
"84","1","0.23"
"87","1","0.23"
"88","1","0.23"
"94","1","0.23"
"96","1","0.23"
