"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  333"
"response","count","percent_responded"
"Chronic pain","122","36.64"
"Posttraumatic stress disorder (PTSD)","81","24.32"
"Anxiety","32","9.61"
"Depression","28","8.41"
"Insomnia","20","6.01"
"Arthritis","11","3.3"
"Bipolar/manic depression","6","1.8"
"Cancer","6","1.8"
"Hypertension","5","1.5"
"Substance abuse/addiction","5","1.5"
"Gastrointestinal/digestive system disorders","4","1.2"
"Fibromyalgia/myositis","3","0.9"
"Multiple sclerosis","3","0.9"
"Diabetes","2","0.6"
"HIV/AIDS","2","0.6"
"Cardiovascular disease","1","0.3"
"Inflammatory bowel disease (IBD)","1","0.3"
"Respiratory problems","1","0.3"
