"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  133"
"response","count","percent_responded"
"Chronic pain","62","46.62"
"Posttraumatic stress disorder (PTSD)","38","28.57"
"Depression","9","6.77"
"Anxiety","8","6.02"
"Bipolar/manic depression","5","3.76"
"Arthritis","3","2.26"
"Gastrointestinal/digestive system disorders","2","1.5"
"Insomnia","2","1.5"
"Cancer","1","0.75"
"Fibromyalgia/myositis","1","0.75"
"HIV/AIDS","1","0.75"
"Multiple sclerosis","1","0.75"
