"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  217  avg =  57.84"
"response","count","percent_responded"
"100","70","32.26"
"0","43","19.82"
"60","11","5.07"
"70","11","5.07"
"90","10","4.61"
"20","9","4.15"
"80","9","4.15"
"50","8","3.69"
"10","7","3.23"
"30","7","3.23"
"1","5","2.3"
"99","5","2.3"
"93","3","1.38"
"3","2","0.92"
"40","2","0.92"
"6","2","0.92"
"92","2","0.92"
"14","1","0.46"
"22","1","0.46"
"31","1","0.46"
"49","1","0.46"
"51","1","0.46"
"64","1","0.46"
"75","1","0.46"
"81","1","0.46"
"87","1","0.46"
"9","1","0.46"
"97","1","0.46"
