"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  232  avg =  54.24"
"response","count","percent_responded"
"100","69","29.74"
"0","58","25"
"80","14","6.03"
"70","11","4.74"
"50","10","4.31"
"90","10","4.31"
"10","9","3.88"
"60","9","3.88"
"1","5","2.16"
"20","5","2.16"
"30","5","2.16"
"40","5","2.16"
"99","5","2.16"
"49","2","0.86"
"18","1","0.43"
"2","1","0.43"
"28","1","0.43"
"43","1","0.43"
"48","1","0.43"
"5","1","0.43"
"53","1","0.43"
"6","1","0.43"
"67","1","0.43"
"74","1","0.43"
"75","1","0.43"
"9","1","0.43"
"93","1","0.43"
"97","1","0.43"
"98","1","0.43"
