"q14","What are the effects of your pain? (Please select all that apply)","n =  129"
"response","count","percent_responded"
"Enjoyment of life","109","84.5"
"Physical activity","108","83.72"
"Energy level","104","80.62"
"Sleep","91","70.54"
"Mobility","90","69.77"
"Household chores","89","68.99"
"Mood","89","68.99"
"Depression","85","65.89"
"Relationships with others","73","56.59"
"Anxiety","69","53.49"
"Sexual functioning","69","53.49"
"Concentration","68","52.71"
"Self esteem","64","49.61"
"Memory","49","37.98"
"Personal care","40","31.01"
"Appetite","33","25.58"
