"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  299"
"response","count","percent_responded"
"Chronic pain","207","69.23"
"Anxiety","154","51.51"
"Depression","140","46.82"
"Posttraumatic stress disorder (PTSD)","130","43.48"
"Arthritis","125","41.81"
"Insomnia","95","31.77"
"Gastrointestinal/digestive system disorders","39","13.04"
"Hypertension","39","13.04"
"Other (please specify)","31","10.37"
"Cancer","26","8.7"
"Fibromyalgia/myositis","26","8.7"
"Attention deficit/hyperactivity disorder (ADHD)","25","8.36"
"Diabetes","22","7.36"
"Reflux esophagitis","18","6.02"
"Respiratory problems","17","5.69"
"Substance abuse/addiction","15","5.02"
"Allergies","12","4.01"
"Cardiovascular disease","12","4.01"
"Inflammatory bowel disease (IBD)","11","3.68"
"Bipolar/manic depression","8","2.68"
"Obesity","8","2.68"
"Eczema","6","2.01"
"Multiple sclerosis","5","1.67"
"Epilepsy","3","1"
"HIV/AIDS","2","0.67"
"Autism","1","0.33"
