"q12","What is your top preferred method (that is, favorite) of using cannabis? (Please select one)","n =  1292"
"response","count","percent_responded"
"Smoke flower","601","46.52"
"Vape cartridges","204","15.79"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","151","11.69"
"Vape flower","108","8.36"
"Tinctures","88","6.81"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","85","6.58"
"Other (please specify)","19","1.47"
"Salves/topicals","16","1.24"
"Capsules","14","1.08"
"Suppositories","4","0.31"
"Transdermal patches","2","0.15"
