"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  232"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","115","49.57"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","69","29.74"
"Anti-inflammatories","66","28.45"
"I don’t take any prescription medications","55","23.71"
"Muscle relaxants","42","18.1"
"Other (please specify)","42","18.1"
"Statins (e.g. Lipitor, Crestor)","42","18.1"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","36","15.52"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","34","14.66"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","31","13.36"
"Antihypertensives","27","11.64"
"Steroids, including steroid creams","25","10.78"
"Beta Blockers","22","9.48"
"Antimigraine","21","9.05"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","17","7.33"
"Insulin","12","5.17"
"Sedatives/hypnotics","12","5.17"
"Antipsychotics (e.g. Abilify, Seroquel)","10","4.31"
"Proton pump inhibitors","7","3.02"
"Hormone replacement therapy (HRT)","6","2.59"
"Barbiturates (e.g. Floricet)","4","1.72"
"Antiemetics","2","0.86"
