"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  185"
"response","count","percent_responded"
"Chronic pain","67","36.22"
"Posttraumatic stress disorder (PTSD)","57","30.81"
"Anxiety","22","11.89"
"Depression","20","10.81"
"Arthritis","4","2.16"
"Insomnia","4","2.16"
"Attention deficit/hyperactivity disorder (ADHD)","2","1.08"
"HIV/AIDS","2","1.08"
"Multiple sclerosis","2","1.08"
"Bipolar/manic depression","1","0.54"
"Cancer","1","0.54"
"Gastrointestinal/digestive system disorders","1","0.54"
"Hypertension","1","0.54"
"Substance abuse/addiction","1","0.54"
