"q46","What information would you like to know related to cannabis to help you make a decision about what cannabis products to use? Please select all that apply.","n =  151"
"response","count","percent_responded"
"Different effects of different cannabinoids","119","78.81"
"Medical value of cannabis","78","51.66"
"Cannabis genetics","68","45.03"
"Cultivation and extraction","67","44.37"
"Cannabis and pharmaceutical drug interactions","64","42.38"
"Side effects of cannabis","50","33.11"
"Other (please specify)","5","3.31"
"Other (please list below)","4","2.65"
