"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  79  avg =  146.392"
"response","count","percent_responded"
"0","31","39.24"
"400","4","5.06"
"10","3","3.8"
"200","3","3.8"
"40","3","3.8"
"50","3","3.8"
"60","3","3.8"
"100","2","2.53"
"1000","2","2.53"
"150","2","2.53"
"25","2","2.53"
"30","2","2.53"
"300","2","2.53"
"500","2","2.53"
"1","1","1.27"
"160","1","1.27"
"195","1","1.27"
"20","1","1.27"
"2000","1","1.27"
"28","1","1.27"
"44","1","1.27"
"45","1","1.27"
"450","1","1.27"
"7","1","1.27"
"70","1","1.27"
"700","1","1.27"
"75","1","1.27"
"80","1","1.27"
"800","1","1.27"
