"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  56"
"response","count","percent_responded"
"Dry mouth","29","51.79"
"Changes in appetite","25","44.64"
"Sleepiness/fatigue","18","32.14"
"More or less talkative","13","23.21"
"Increased energy","10","17.86"
"Feeling of being ""altered""","9","16.07"
"Difficulty concentrating","8","14.29"
"Changes in libido","7","12.5"
"Other (please specify)","7","12.5"
"Memory problems","5","8.93"
"Paranoia","4","7.14"
"Sweating","3","5.36"
"Tough to get started in the morning (lassitude) or ""couch lock""","3","5.36"
"Apathy","2","3.57"
"Dizziness","2","3.57"
"Headache","2","3.57"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","2","3.57"
"Nausea","2","3.57"
"Anxiety","1","1.79"
"GI changes (constipation, diarrhea, abdominal discomfort)","1","1.79"
"Heart racing/palpitations","1","1.79"
"Racing thoughts","1","1.79"
