"q51","What type of cannabis advertising have you been exposed to in the past 30 days? Please check all that apply.","n =  142"
"response","count","percent_responded"
"Have not seen advertising","56","39.44"
"Digitally on a cell phone, tablet, or computer (through email, text messages, websites, or social media)","42","29.58"
"On billboards","21","14.79"
"In magizines or newspapers","19","13.38"
"On the radio","18","12.68"
"On storefronts","16","11.27"
"On television","15","10.56"
"In pamphlets or flyers","12","8.45"
"At an event, like a concert, fair, rodeo, parade, or similar","10","7.04"
"On street side marketing, like sandwich boards","7","4.93"
"On signs being held by people on sidewalks (sign wavers)","5","3.52"
"Other (please specify)","4","2.82"
"Other (please specify below)","3","2.11"
