"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  16"
"response","count","percent_responded"
"Dry mouth","11","68.75"
"Increased energy","10","62.5"
"Changes in appetite","8","50"
"More or less talkative","7","43.75"
"Changes in libido","3","18.75"
"Sleepiness/fatigue","3","18.75"
"Difficulty concentrating","2","12.5"
"Feeling of being ""altered""","2","12.5"
"Memory problems","2","12.5"
"Paranoia","2","12.5"
"Tough to get started in the morning (lassitude) or ""couch lock""","2","12.5"
"Racing thoughts","1","6.25"
