"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  87"
"response","count","percent_responded"
"Sleep/insomnia","52","59.77"
"Depression/mood","50","57.47"
"Pain","45","51.72"
"Anxiety/panic attacks","43","49.43"
"Aggression","23","26.44"
"Appetite/weight","18","20.69"
"Attention/concentration","17","19.54"
"Headache","15","17.24"
"Inflammation","15","17.24"
"Spasms","15","17.24"
"Nausea/vomiting","7","8.05"
"Mania/psychosis","5","5.75"
"Ocular pressure","4","4.6"
"Other (please specify)","4","4.6"
"Seizures","4","4.6"
"Drug withdrawal","2","2.3"
"Respiratory","2","2.3"
"Skin conditions","2","2.3"
