"q13","Where are the locations of your pain (please check all that apply)","n =  68"
"response","count","percent_responded"
"Lower back","58","85.29"
"Hips","36","52.94"
"Neck","36","52.94"
"Knee","34","50"
"Shoulder","34","50"
"General joint pain","33","48.53"
"Leg","32","47.06"
"Foot","29","42.65"
"Upper back","26","38.24"
"Generalized muscle pain","24","35.29"
"Wrist","24","35.29"
"Hand","21","30.88"
"Arm","17","25"
"Head/headache","17","25"
"Buttocks","16","23.53"
"Abdomen","11","16.18"
"Full body","7","10.29"
"Chest","6","8.82"
"Mouth/dental pain","6","8.82"
"Stomach","4","5.88"
"Face","3","4.41"
"Genitalia","2","2.94"
"Other (please specify)","2","2.94"
"Rectum","1","1.47"
