"q52","What questions regarding cannabis did we not ask that are important to you?","n =  615"
"response","count","percent_responded"
"None","100","16.26"
"none","50","8.13"
"N/A","30","4.88"
"n/a","18","2.93"
"N/a","17","2.76"
"None ","15","2.44"
"Nothing","11","1.79"
"Na","8","1.3"
"Not sure","8","1.3"
"Can't think of any","5","0.81"
"na","5","0.81"
"not sure","5","0.81"
"None.","4","0.65"
"Nothing ","4","0.65"
"Can't think of any.","3","0.49"
"idk","2","0.33"
"None that I can think of.","2","0.33"
"Nothing.","2","0.33"
"Pricing","2","0.33"
"A group or message board where I can learn more from people nearby","1","0.16"
"About medical card","1","0.16"
"about my sustained and maintenance care regarding opiate addiction recovery. Survey focuses only on patients who are ""trying it"" ... I've been succeeding for the past 3 years. The information regarding the continued care in this area of recovery that is not ""NEW""OR ""TRYING"" ... but actually succeeding, (questions about ""sustaining success,"" etc)","1","0.16"
"Accepting payments in XLM, XRP, ETH BCH, BTC.","1","0.16"
"Add FECO to list of products used.","1","0.16"
"Al were good","1","0.16"
"all good","1","0.16"
"All good","1","0.16"
"All seemed to be covered","1","0.16"
"All where","1","0.16"
"Am i a parent. ","1","0.16"
"any Changes you believe can be made to better reform marijuana laws or dispensary’s price , how they are run, etc. any changes that can be made that can better this new cannabis market ","1","0.16"
"Are the patients' needs being met satisfactorily by the supply of dispensaries (No, more demand than available supply)","1","0.16"
"Are there social benefits that cannabis can offer people?","1","0.16"
"Are your healcare providers knowledgeable about the specifics of medicinal cannabis use? Not at all!","1","0.16"
"Aroma ","1","0.16"
"As someone who has moved out of state, I would love comparisons made between our flower to say, Colorado or California. I have tried a lot that Massachusetts has had to offer and it just seems to continually fall short. ","1","0.16"
"c","1","0.16"
"Can't think of any ","1","0.16"
"Can't think of anything","1","0.16"
"can't think of them right now","1","0.16"
"can not think of any ","1","0.16"
"Can we give you free cannabis products?","1","0.16"
"Can’t think of any","1","0.16"
"Can’t think of any ","1","0.16"
"Can’t think of any at this moment ","1","0.16"
"Can’t think of anything right now ","1","0.16"
"children consumption - when will that be a thing? for medicinal use of course","1","0.16"
"Common negative side effects, common positive side effects","1","0.16"
"Consider specifying differences in patterns of use related to medicinal use vs. recreation use. ","1","0.16"
"Cost....no one pays more for cannabis than Massachusetts mmj patients. Frustrating knowing the western part of the country pays just a fraction of the $ we do for the same product","1","0.16"
"Covered everything ","1","0.16"
"Current Legal ramifications ","1","0.16"
"Did you ask about terpene testing or was I just on my soapbox? If you want to gather more good information, add more fill-in boxes. ie. #53-54. I used recreationally when younger, but not much at all as a parent. Then I 'recreated' one evening after developing fibromyalgia and realized this is medicine! Now I use medicinally, and recreate on the occasional weekend. Much prefer cannabis to alcohol. I've done a lot of research & experimentation on it, and enjoy sharing that knowledge with friends and family. Taught a mature friend to smoke for the first time in her life. She now legally consumes regularly to significantly improve her fibro symptoms so she can keep working. Thank you for allowing me to participate in a medicinal cannabis survey without the prerequisite of medicating legally!","1","0.16"
"Did you grow up in a family where Cannabis was used?","1","0.16"
"Do you believe that your primary care doctor believes in the stigma or will help you?","1","0.16"
"Do you feel any symptoms of addiction?  Do you regularly mix cannabis with alcohol or other drugs.  What recreational drugs do you take?","1","0.16"
"Do you feel comfortable consuming cannabis in your housing ?  ","1","0.16"
"Do you grow your own medical marijuana?","1","0.16"
"Do you know about the dry and cure process and how important it is?","1","0.16"
"Do you know anyone else with a medical card ","1","0.16"
"Do you know someone who grows","1","0.16"
"Do you know the difference between indica & sativa?","1","0.16"
"Do you make any cannabis products for yourself?","1","0.16"
"Do you think cannabis has different effects on females vs. males ?","1","0.16"
"Do you think Medical Doctors need education related to marijuana ","1","0.16"
"Do you think that it’s unfair to have to worry about traveling with this medicine. It’s ok to have those opioids in your daily pill box or benzodiazepines but that cannabis is a issue when flying or traveling in general. ","1","0.16"
"Do you think there should be public smoking establishments? Example- lounges/gyms","1","0.16"
"Do you use cannabis for your pets or a caretaker for loved ones","1","0.16"
"Do you want some?","1","0.16"
"Does my spouse use cannabis? She doesn't. And anecdotally, I've come across a number of others in the community where this is also the case. ","1","0.16"
"Does your local dispensary provide currant lab test results including mold and pesticide levels ","1","0.16"
"Don't have any","1","0.16"
"Don't have any.","1","0.16"
