"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  320"
"response","count","percent_responded"
"Anxiety","240","75"
"Chronic pain","236","73.75"
"Depression","224","70"
"Posttraumatic stress disorder (PTSD)","203","63.44"
"Insomnia","183","57.19"
"Arthritis","141","44.06"
"Gastrointestinal/digestive system disorders","88","27.5"
"Allergies","85","26.56"
"Hypertension","72","22.5"
"Obesity","62","19.38"
"Other (please specify)","62","19.38"
"Reflux esophagitis","62","19.38"
"Respiratory problems","50","15.62"
"Substance abuse/addiction","47","14.69"
"Attention deficit/hyperactivity disorder (ADHD)","45","14.06"
"Inflammatory bowel disease (IBD)","33","10.31"
"Diabetes","32","10"
"Fibromyalgia/myositis","28","8.75"
"Bipolar/manic depression","27","8.44"
"Eczema","25","7.81"
"Cancer","21","6.56"
"Cardiovascular disease","16","5"
"HIV/AIDS","6","1.88"
"Epilepsy","4","1.25"
"Multiple sclerosis","4","1.25"
"Alzheimer's","2","0.62"
"Autism","1","0.31"
