"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  144  avg =  62.736"
"response","count","percent_responded"
"100","67","46.53"
"0","26","18.06"
"75","6","4.17"
"1","3","2.08"
"10","3","2.08"
"2","3","2.08"
"50","3","2.08"
"14","2","1.39"
"15","2","1.39"
"5","2","1.39"
"80","2","1.39"
"82","2","1.39"
"90","2","1.39"
"96","2","1.39"
"12","1","0.69"
"20","1","0.69"
"25","1","0.69"
"26","1","0.69"
"33","1","0.69"
"36","1","0.69"
"40","1","0.69"
"43","1","0.69"
"51","1","0.69"
"52","1","0.69"
"56","1","0.69"
"6","1","0.69"
"65","1","0.69"
"8","1","0.69"
"85","1","0.69"
"87","1","0.69"
"89","1","0.69"
"98","1","0.69"
"99","1","0.69"
