"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  299"
"response","count","percent_responded"
"Some college, no degree","85","28.43"
"Bachelor's degree","62","20.74"
"Associate's degree","50","16.72"
"High school degree or equivalent (GED)","37","12.37"
"Master's degree","33","11.04"
"Vocational degree","17","5.69"
"Professional degree (MD, JD, DDS, DVM)","8","2.68"
"Doctorate (Ph.D, Ed.D, etc)","6","2.01"
"Less than high school diploma","1","0.33"
