"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  293  avg =  62.86"
"response","count","percent_responded"
"100","136","46.42"
"0","58","19.8"
"75","8","2.73"
"90","8","2.73"
"10","6","2.05"
"50","6","2.05"
"98","6","2.05"
"1","5","1.71"
"2","4","1.37"
"25","4","1.37"
"5","4","1.37"
"80","4","1.37"
"99","4","1.37"
"14","3","1.02"
"15","3","1.02"
"30","3","1.02"
"12","2","0.68"
"18","2","0.68"
"4","2","0.68"
"97","2","0.68"
"13","1","0.34"
"19","1","0.34"
"23","1","0.34"
"26","1","0.34"
"27","1","0.34"
"33","1","0.34"
"37","1","0.34"
"43","1","0.34"
"48","1","0.34"
"51","1","0.34"
"52","1","0.34"
"61","1","0.34"
"65","1","0.34"
"7","1","0.34"
"70","1","0.34"
"73","1","0.34"
"82","1","0.34"
"84","1","0.34"
"85","1","0.34"
"86","1","0.34"
"89","1","0.34"
"93","1","0.34"
"95","1","0.34"
