"q13","Where are the locations of your pain (please check all that apply)","n =  64"
"response","count","percent_responded"
"Lower back","51","79.69"
"Knee","35","54.69"
"Hips","34","53.12"
"Neck","32","50"
"Shoulder","30","46.88"
"General joint pain","29","45.31"
"Leg","28","43.75"
"Upper back","27","42.19"
"Generalized muscle pain","23","35.94"
"Head/headache","22","34.38"
"Wrist","21","32.81"
"Foot","20","31.25"
"Arm","18","28.12"
"Hand","17","26.56"
"Buttocks","15","23.44"
"Full body","13","20.31"
"Abdomen","11","17.19"
"Chest","11","17.19"
"Stomach","8","12.5"
"Face","6","9.38"
"Genitalia","4","6.25"
"Mouth/dental pain","3","4.69"
"Other (please specify)","2","3.12"
"Rectum","2","3.12"
