"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  419"
"response","count","percent_responded"
"Chronic pain","282","67.3"
"Anxiety","272","64.92"
"Depression","230","54.89"
"Posttraumatic stress disorder (PTSD)","219","52.27"
"Insomnia","153","36.52"
"Arthritis","141","33.65"
"Gastrointestinal/digestive system disorders","51","12.17"
"Hypertension","45","10.74"
"Other (please specify)","45","10.74"
"Attention deficit/hyperactivity disorder (ADHD)","40","9.55"
"Substance abuse/addiction","33","7.88"
"Cancer","25","5.97"
"Fibromyalgia/myositis","25","5.97"
"Inflammatory bowel disease (IBD)","25","5.97"
"Bipolar/manic depression","24","5.73"
"Respiratory problems","20","4.77"
"Reflux esophagitis","18","4.3"
"Allergies","16","3.82"
"Diabetes","15","3.58"
"Cardiovascular disease","11","2.63"
"Obesity","11","2.63"
"Eczema","4","0.95"
"Epilepsy","3","0.72"
"HIV/AIDS","3","0.72"
"Multiple sclerosis","3","0.72"
"Alzheimer's","1","0.24"
"Autism","1","0.24"
