"q6","What symptoms for the primary condition do you use cannabis to treat? Please select all that apply.","n =  834"
"response","count","percent_responded"
"Anxiety","834","100"
"Sleep","620","74.34"
"Depression","572","68.59"
"Pain","519","62.23"
"Inflammation","332","39.81"
"Headache","268","32.13"
"Nausea","233","27.94"
"Attention/concentration","207","24.82"
"Spasms","178","21.34"
"Appetite/weight","176","21.1"
"Aggression","149","17.87"
"Other (please specify)","65","7.79"
"Skin conditions","45","5.4"
"Drug withdrawl","30","3.6"
"Ocular pressure","28","3.36"
"Mainia/psychosis","25","3"
"Respiratory","23","2.76"
"Seizures","18","2.16"
"No Symptoms","2","0.24"
