"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  144"
"response","count","percent_responded"
"Posttraumatic stress disorder (PTSD)","109","75.69"
"Chronic pain","10","6.94"
"Anxiety","8","5.56"
"Depression","7","4.86"
"Insomnia","4","2.78"
"Arthritis","1","0.69"
"Cancer","1","0.69"
"Fibromyalgia/myositis","1","0.69"
"Gastrointestinal/digestive system disorders","1","0.69"
"HIV/AIDS","1","0.69"
"Substance abuse/addiction","1","0.69"
