"q10","Are you actively trying to reduce your prescription medication intake using cannabis? Please select all that apply.","n =  101"
"response","count","percent_responded"
"Sedatives/hypnotics","101","100"
"Antidepressants","49","48.51"
"Anxiolytics/Benzodiazepines","40","39.6"
"Muscle relaxants","40","39.6"
"Narcotics/opioids","40","39.6"
"NSAID/non-opioid analgesics","36","35.64"
"Antipsychotics","13","12.87"
"Other (please specify)","10","9.9"
"Antimigraine","9","8.91"
"Anti-convulsants","8","7.92"
"Proton pump inhibitors","7","6.93"
"Other (please specify below)","5","4.95"
"Not actively trying to reduce medication Intake","2","1.98"
