"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  85"
"response","count","percent_responded"
"Dry mouth","55","64.71"
"Sleepiness/fatigue","29","34.12"
"Increased energy","26","30.59"
"Changes in appetite","25","29.41"
"More or less talkative","21","24.71"
"Feeling of being ""altered""","11","12.94"
"Changes in libido","9","10.59"
"Other (please specify)","9","10.59"
"Difficulty concentrating","8","9.41"
"Tough to get started in the morning (lassitude) or ""couch lock""","8","9.41"
"Paranoia","7","8.24"
"Memory problems","5","5.88"
"Heart racing/palpitations","4","4.71"
"Dizziness","3","3.53"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","3","3.53"
"Nausea","3","3.53"
"Racing thoughts","3","3.53"
"Apathy","2","2.35"
"Headache","2","2.35"
"Sweating","2","2.35"
