"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  299"
"response","count","percent_responded"
"Smoke flower","180","60.2"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","150","50.17"
"Vape cartridges","135","45.15"
"Tinctures","105","35.12"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","81","27.09"
"Vape flower","78","26.09"
"Salves/topicals","65","21.74"
"Capsules","35","11.71"
"Transdermal patches","15","5.02"
"Other (please specify)","11","3.68"
"Suppositories","11","3.68"
