"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  148"
"response","count","percent_responded"
"Money to purchase products","72","48.65"
"Access to the right products","62","41.89"
"Money required to get medical card","46","31.08"
"Owning a firearm","38","25.68"
"Stigma","33","22.3"
"Lack of knowledge","25","16.89"
"Other (please specify)","22","14.86"
"Place to consume cannabis","13","8.78"
"Workplace testing or other policies","5","3.38"
"Previous bad experience","1","0.68"
