Respondent ID,Did you ever go on combat patrols or have other dangerous duty?,Were you ever under enemy fire?,Were you ever surrounded by the enemy?,"What percentage of the soldiers in your unit were killed (KIA), wounded or missing in action (MIA)?",How often did you fire rounds at the enemy?,How often did you see someone hit by incoming or outgoing rounds?,"How often were you in danger of being injured or killed (i.e., being pinned down, overrun, ambushed, near miss, etc.)?",,,,
,Response,Response,Response,Response,Response,Response,Response,,,,
11062634752,4,5,5,2,4,4,3,,,,
11027692007,2,2,2,1,2,2,2,,,,Light
10923325388,4,3,2,1,3,1,4,,,,Light - Moderate
10893948558,4,5,1,2,5,3,4,,,,Moderate
10888170961,2,3,2,2,1,2,3,,,,Moderate - Heavy
10885759801,3,3,1,2,2,2,2,,,,Heavy
10884768912,4,3,1,1,1,2,2,,,,
10883497633,3,5,2,2,3,3,3,,,,
10882385979,3,3,2,2,3,2,3,,,,
10878751296,3,2,2,2,2,3,3,,,,
10878422887,4,5,4,2,3,1,4,,,,
10878214093,4,2,2,2,3,3,2,,,,
10877788133,3,2,1,2,1,2,2,,,,
10877606410,4,5,3,4,5,5,5,,,,
10877565497,4,5,2,2,4,2,3,,,,
10877375002,1,2,2,1,2,1,2,,,,
10877194985,4,5,3,2,4,4,5,,,,
10876876072,4,3,1,1,1,3,4,,,,
10876604101,1,1,1,1,1,1,1,,,,
10876485783,3,2,1,1,2,5,1,,,,
10876100377,4,5,1,2,4,3,3,,,,
10875944995,4,5,1,2,5,3,5,,,,
10875700450,3,1,2,1,1,1,2,,,,
10875696093,1,2,1,2,3,3,2,,,,
10875617011,2,3,1,2,2,1,3,,,,
10875526461,4,5,2,2,5,3,3,,,,
10875511603,4,4,3,2,4,3,3,,,,
10875507777,4,3,2,3,1,2,3,,,,
10875479466,2,1,1,2,1,1,2,,,,
10875473988,4,5,3,2,3,2,5,,,,
10875467061,3,3,2,2,3,2,3,,,,
10875462742,4,5,5,2,4,3,5,,,,
10875460020,1,2,1,2,1,1,2,,,,
10874749577,4,1,1,2,1,3,2,,,,
10867812743,4,5,1,2,4,3,3,,,,
10867810520,4,1,5,1,1,1,1,,,,
10856437127,4,5,1,2,1,2,5,,,,
10855896441,1,5,1,2,1,2,1,,,,
