"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  78"
"response","count","percent_responded"
"Some college, no degree","27","34.62"
"Bachelor's degree","16","20.51"
"Associate's degree","11","14.1"
"Master's degree","9","11.54"
"High school degree or equivalent (GED)","8","10.26"
"Vocational degree","4","5.13"
"Professional degree (MD, JD, DDS, DVM)","2","2.56"
"Doctorate (Ph.D, Ed.D, etc)","1","1.28"
