"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  391"
"response","count","percent_responded"
"Chronic pain","287","73.4"
"Anxiety","252","64.45"
"Depression","225","57.54"
"Posttraumatic stress disorder (PTSD)","210","53.71"
"Arthritis","147","37.6"
"Insomnia","146","37.34"
"Gastrointestinal/digestive system disorders","48","12.28"
"Hypertension","46","11.76"
"Attention deficit/hyperactivity disorder (ADHD)","44","11.25"
"Other (please specify)","43","11"
"Fibromyalgia/myositis","33","8.44"
"Substance abuse/addiction","29","7.42"
"Bipolar/manic depression","23","5.88"
"Cancer","20","5.12"
"Reflux esophagitis","20","5.12"
"Inflammatory bowel disease (IBD)","19","4.86"
"Diabetes","17","4.35"
"Respiratory problems","15","3.84"
"Allergies","13","3.32"
"Cardiovascular disease","12","3.07"
"Obesity","10","2.56"
"Eczema","8","2.05"
"HIV/AIDS","7","1.79"
"Multiple sclerosis","6","1.53"
"Epilepsy","4","1.02"
"Alzheimer's","2","0.51"
"Autism","1","0.26"
