"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  419  avg =  53.65"
"response","count","percent_responded"
"100","117","27.92"
"0","97","23.15"
"70","24","5.73"
"60","23","5.49"
"90","22","5.25"
"80","20","4.77"
"10","19","4.53"
"20","13","3.1"
"30","13","3.1"
"50","13","3.1"
"40","11","2.63"
"1","8","1.91"
"99","7","1.67"
"3","3","0.72"
"22","2","0.48"
"49","2","0.48"
"51","2","0.48"
"6","2","0.48"
"75","2","0.48"
"9","2","0.48"
"93","2","0.48"
"98","2","0.48"
"18","1","0.24"
"23","1","0.24"
"28","1","0.24"
"31","1","0.24"
"47","1","0.24"
"5","1","0.24"
"53","1","0.24"
"64","1","0.24"
"67","1","0.24"
"74","1","0.24"
"92","1","0.24"
"94","1","0.24"
"97","1","0.24"
