"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  148"
"response","count","percent_responded"
"Smoke flower","84","56.76"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","83","56.08"
"Vape cartridges","70","47.3"
"Tinctures","60","40.54"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","38","25.68"
"Salves/topicals","35","23.65"
"Vape flower","33","22.3"
"Capsules","26","17.57"
"Transdermal patches","8","5.41"
"Other (please specify)","3","2.03"
"Suppositories","2","1.35"
