"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  217  avg =  118.677"
"response","count","percent_responded"
"0","87","40.09"
"20","12","5.53"
"50","10","4.61"
"10","9","4.15"
"100","9","4.15"
"150","8","3.69"
"40","8","3.69"
"400","8","3.69"
"300","7","3.23"
"25","6","2.76"
"60","5","2.3"
"1000","4","1.84"
"200","4","1.84"
"30","4","1.84"
"8","4","1.84"
"45","3","1.38"
"55","3","1.38"
"500","2","0.92"
"600","2","0.92"
"75","2","0.92"
"80","2","0.92"
"800","2","0.92"
"1","1","0.46"
"1200","1","0.46"
"125","1","0.46"
"1500","1","0.46"
"195","1","0.46"
"2000","1","0.46"
"250","1","0.46"
"3","1","0.46"
"350","1","0.46"
"5","1","0.46"
"56","1","0.46"
"7","1","0.46"
"700","1","0.46"
"9","1","0.46"
"90","1","0.46"
"900","1","0.46"
