"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  185"
"response","count","percent_responded"
"Depression","170","91.89"
"Anxiety","155","83.78"
"Chronic pain","145","78.38"
"Posttraumatic stress disorder (PTSD)","120","64.86"
"Arthritis","82","44.32"
"Insomnia","78","42.16"
"Allergies","46","24.86"
"Hypertension","46","24.86"
"Gastrointestinal/digestive system disorders","42","22.7"
"Obesity","41","22.16"
"Reflux esophagitis","41","22.16"
"Other (please specify)","36","19.46"
"Substance abuse/addiction","31","16.76"
"Respiratory problems","30","16.22"
"Attention deficit/hyperactivity disorder (ADHD)","29","15.68"
"Diabetes","22","11.89"
"Cardiovascular disease","18","9.73"
"Eczema","16","8.65"
"Fibromyalgia/myositis","16","8.65"
"Bipolar/manic depression","15","8.11"
"Cancer","15","8.11"
"Inflammatory bowel disease (IBD)","12","6.49"
"Multiple sclerosis","4","2.16"
"Epilepsy","3","1.62"
"HIV/AIDS","3","1.62"
