"q67","Which VA do you go to?","n =  243"
"response","count","percent_responded"
"None","12","4.94"
"n/a","5","2.06"
"N/A","5","2.06"
"Bedford","4","1.65"
"Boston","4","1.65"
"Providence","4","1.65"
"none","3","1.23"
"Northampton","3","1.23"
"Worcester","3","1.23"
"Atlanta","2","0.82"
"Bedford ","2","0.82"
"Brockton","2","0.82"
"Indianapolis ","2","0.82"
"Loma Linda ","2","0.82"
"Lynn","2","0.82"
"Manchester, NH","2","0.82"
"N/a","2","0.82"
"Newington, CT","2","0.82"
"No","2","0.82"
"Pittsburgh","2","0.82"
"Raymond G Murphy","2","0.82"
"West Roxbury ","2","0.82"
" Brockton Massachusetts","1","0.41"
"Aht aht ","1","0.41"
"Albany, NY","1","0.41"
"Albuquerque ","1","0.41"
"All mass clinics","1","0.41"
"Augusta","1","0.41"
"Baltimore ","1","0.41"
"Baypines Va","1","0.41"
"Beaumont TX","1","0.41"
"bedford","1","0.41"
"bedford , ma","1","0.41"
"Bedford VA Hospital ","1","0.41"
"Bedford, MA","1","0.41"
"BOHC","1","0.41"
"Boston ","1","0.41"
"Boston - JP","1","0.41"
"boston area","1","0.41"
"boston campus","1","0.41"
"boston ma","1","0.41"
"Brockton ","1","0.41"
"Brockton VA","1","0.41"
"Brockton. Massachusetts","1","0.41"
"Burlington vermont","1","0.41"
"Campbell county  va","1","0.41"
"Castle Point, VAHVHCS","1","0.41"
"Charleston VA weapons station ","1","0.41"
"Cheyenne","1","0.41"
"Cheyenne and Denver","1","0.41"
"Clairmont Rd, decatur","1","0.41"
"columbia,sc","1","0.41"
"Corpus Christi, Texas ","1","0.41"
"Davenport, IA ","1","0.41"
"Denver ","1","0.41"
"Denver & Golden","1","0.41"
"do not go to va","1","0.41"
"Do not go to va","1","0.41"
"Do not go to VA","1","0.41"
"Don’t ","1","0.41"
"Dorn VA - Columbia, SC","1","0.41"
"Downtown Los Angeles ","1","0.41"
"Eureka ca","1","0.41"
"Fitchburg","1","0.41"
"Fitchburg ","1","0.41"
"Fort Myers Florida","1","0.41"
"Fresno.. which I will never return to adter they broke my rt collar bone 2 years ago and have covered it up since","1","0.41"
"Ft Worth,  tx","1","0.41"
