"q13","Where are the locations of your pain (please check all that apply)","n =  90"
"response","count","percent_responded"
"Lower back","70","77.78"
"Knee","51","56.67"
"Neck","49","54.44"
"Leg","46","51.11"
"General joint pain","45","50"
"Hips","38","42.22"
"Shoulder","37","41.11"
"Upper back","29","32.22"
"Foot","27","30"
"Hand","27","30"
"Generalized muscle pain","26","28.89"
"Wrist","26","28.89"
"Head/headache","23","25.56"
"Arm","20","22.22"
"Full body","14","15.56"
"Abdomen","12","13.33"
"Buttocks","12","13.33"
"Stomach","12","13.33"
"Mouth/dental pain","9","10"
"Chest","5","5.56"
"Other (please specify)","5","5.56"
"Rectum","4","4.44"
"Genitalia","2","2.22"
"Face","1","1.11"
