"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  79"
"response","count","percent_responded"
"Sleep/insomnia","46","58.23"
"Anxiety/panic attacks","45","56.96"
"Depression/mood","45","56.96"
"Pain","39","49.37"
"Aggression","28","35.44"
"Headache","22","27.85"
"Attention/concentration","19","24.05"
"Appetite/weight","15","18.99"
"Spasms","15","18.99"
"Nausea/vomiting","13","16.46"
"Inflammation","11","13.92"
"Mania/psychosis","7","8.86"
"Ocular pressure","4","5.06"
"Drug withdrawal","3","3.8"
"Seizures","3","3.8"
"Skin conditions","3","3.8"
"Other (please specify)","2","2.53"
"Respiratory","1","1.27"
