"q13","Where are the locations of your pain (please check all that apply)","n =  11"
"response","count","percent_responded"
"Knee","9","81.82"
"Lower back","6","54.55"
"Shoulder","6","54.55"
"General joint pain","5","45.45"
"Neck","5","45.45"
"Arm","4","36.36"
"Foot","4","36.36"
"Generalized muscle pain","4","36.36"
"Hips","4","36.36"
"Leg","4","36.36"
"Abdomen","3","27.27"
"Hand","3","27.27"
"Stomach","3","27.27"
"Wrist","3","27.27"
"Upper back","2","18.18"
"Buttocks","1","9.09"
"Chest","1","9.09"
"Full body","1","9.09"
"Head/headache","1","9.09"
"Other (please specify)","1","9.09"
"Rectum","1","9.09"
