"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  299"
"response","count","percent_responded"
"Chronic pain","128","42.81"
"Posttraumatic stress disorder (PTSD)","60","20.07"
"Anxiety","21","7.02"
"Depression","19","6.35"
"Insomnia","18","6.02"
"Arthritis","17","5.69"
"Cancer","12","4.01"
"Hypertension","5","1.67"
"Diabetes","4","1.34"
"Fibromyalgia/myositis","3","1"
"Gastrointestinal/digestive system disorders","3","1"
"Attention deficit/hyperactivity disorder (ADHD)","2","0.67"
"Multiple sclerosis","2","0.67"
"Bipolar/manic depression","1","0.33"
"Cardiovascular disease","1","0.33"
"HIV/AIDS","1","0.33"
"Respiratory problems","1","0.33"
"Substance abuse/addiction","1","0.33"
