"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  16"
"response","count","percent_responded"
"Sleep/insomnia","12","75"
"Pain","8","50"
"Anxiety/panic attacks","7","43.75"
"Depression/mood","7","43.75"
"Aggression","2","12.5"
"Attention/concentration","2","12.5"
"Headache","2","12.5"
"Inflammation","2","12.5"
"Appetite/weight","1","6.25"
"Mania/psychosis","1","6.25"
"Nausea/vomiting","1","6.25"
"Ocular pressure","1","6.25"
"Other (please specify)","1","6.25"
"Spasms","1","6.25"
