"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  146"
"response","count","percent_responded"
"Pain","105","71.92"
"Sleep/insomnia","105","71.92"
"Depression/mood","100","68.49"
"Anxiety/panic attacks","78","53.42"
"Appetite/weight","55","37.67"
"Attention/concentration","53","36.3"
"Headache","51","34.93"
"Inflammation","50","34.25"
"Aggression","43","29.45"
"Spasms","36","24.66"
"Nausea/vomiting","26","17.81"
"Skin conditions","18","12.33"
"Respiratory","13","8.9"
"Ocular pressure","11","7.53"
"Other (please specify)","9","6.16"
"Mania/psychosis","8","5.48"
"Drug withdrawal","3","2.05"
"Seizures","1","0.68"
