"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  265"
"response","count","percent_responded"
"Money to purchase products","146","55.09"
"Access to the right products","117","44.15"
"Money required to get medical card","86","32.45"
"Owning a firearm","80","30.19"
"Stigma","78","29.43"
"Workplace testing or other policies","70","26.42"
"Place to consume cannabis","68","25.66"
"Lack of knowledge","32","12.08"
"Other (please specify)","19","7.17"
"Previous bad experience","6","2.26"
