"q52","What questions regarding cannabis did we not ask that are important to you?","n =  261"
"response","count","percent_responded"
"None","55","21.07"
"none","26","9.96"
"N/a","11","4.21"
"N/A","11","4.21"
"n/a","8","3.07"
"None ","7","2.68"
"Nothing","6","2.3"
"Na","3","1.15"
"Can't think of any","2","0.77"
"na","2","0.77"
"None  ","2","0.77"
"Accepting payments in XLM, XRP, ETH BCH, BTC.","1","0.38"
"All answered ","1","0.38"
"All great questions.","1","0.38"
"Am i a parent. ","1","0.38"
"any Changes you believe can be made to better reform marijuana laws or dispensary’s price , how they are run, etc. any changes that can be made that can better this new cannabis market ","1","0.38"
"Are there social benefits that cannabis can offer people?","1","0.38"
"are you aware that wax or certain concentrates can ignite on fire if smoked with a pipe?","1","0.38"
"Aroma ","1","0.38"
"As someone who has moved out of state, I would love comparisons made between our flower to say, Colorado or California. I have tried a lot that Massachusetts has had to offer and it just seems to continually fall short. ","1","0.38"
"Believe you've covered it all in this survey","1","0.38"
"c","1","0.38"
"Can't think of any.","1","0.38"
"Can’t think of any ","1","0.38"
"CBD","1","0.38"
"children consumption - when will that be a thing? for medicinal use of course","1","0.38"
"Clinical trials, the first of which should be how toxic is cannabis?","1","0.38"
"consistency of vape cartridges  ","1","0.38"
"Covered everything ","1","0.38"
"Do you know the dosage recommended to treat patient ailment based on patient profile and symptoms. (NO).  Is cannabis treatment resolving the targetted medical issue? (Not yet, small glimmer of resolution, but too much trial and error on dosing and no real answers from previous practices to follow).","1","0.38"
"Do you think cannabis has different effects on females vs. males ?","1","0.38"
"Do you want some?","1","0.38"
"Don't have any feedback. ","1","0.38"
"dose of cbd separate from thc.  expirience with terpenes.  condition specific info.  ","1","0.38"
"educational resources to continue education & support groups","1","0.38"
"Effects and recommended use by ailment","1","0.38"
"fda","1","0.38"
"Federal legalization, and the education of the masses.","1","0.38"
"Getting more information about getting a medical card ","1","0.38"
"Has cannabis usage lowered my physical pain?","1","0.38"
"Have you mentioned cannabis to your doctor and if so what was the response.  OR  What are you thoughts on talking to your healthcare provider about using medical cannabis as a treatment option?","1","0.38"
"How can it be made available to people of less means? I work inner city, and come across many poor people who would benefit but cannot due to cost.","1","0.38"
"How can we get the cost defrayed the government saves $4000 a month on my meds alone and I’m destitute ","1","0.38"
"How comfortable are you with the quality of the bud you are receiving?","1","0.38"
"How does cannabis use increase an active lifestyle?","1","0.38"
"How does using cannabis make you feel and how does it help in your daily life?","1","0.38"
"How easy is it to get a Green Card for use of marijuana?","1","0.38"
"How long have I been using marijuana? ","1","0.38"
"how long have i used?","1","0.38"
"How often and how much","1","0.38"
"how to dose","1","0.38"
"I'm happy with the questions","1","0.38"
"I am very interested in how dispensaries will handle medical and recreational. For example I have heard of separate lines and guaranteed inventory for medical card holders. So I am interested in how recreational legalization will affect my experience as a medical card holder.","1","0.38"
"I can't think of any. ","1","0.38"
"I can't think of one","1","0.38"
"I can’t tolerate THC, I have hallucinations, anxiety, it’s horrible. In the 70’s I tried smoking pot and I came to conclusion that it wasn’t for me.","1","0.38"
"I cant think of any","1","0.38"
"I don't know?","1","0.38"
"I don’t ask questions unless it’s about the price because you people are ridiculous with the price you charge ","1","0.38"
"I don’t have any questions .","1","0.38"
"I don’t know","1","0.38"
"I have none","1","0.38"
"I have none!","1","0.38"
"idk","1","0.38"
"Idk","1","0.38"
"If whether or not I believe insurance companies should be responsible for assiting with paying for cannabis. They already pay for deadly drugs, drugs which have a proven track record of abuse.","1","0.38"
"If you've felt the need to stop using marijuana and couldn't","1","0.38"
"Inquiring about knowledge about proper approach to edibles in terms of dosage and maximizing bioavailability for people who might have issues getting consistent effects from oral ingestion of THC and CBD.","1","0.38"
"Is your favorite strain always in stock?","1","0.38"
"it's important to be able discuss use with MD and get advice, most are either judgmental or don't know about interactions or how to avoid them with other meds","1","0.38"
"It's important to me that the populations most impacted by the past illegalization of cannabis are given first place in receiving business licenses, get favorable loans, etc. That would/will affect what products I purchase.","1","0.38"
"Law","1","0.38"
"long term effects on using cannabis on a regular basis","1","0.38"
