Q#91,"What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)",
,,
response,count,percent_all
Less than high school diploma,1,0.50%
High school degree or equivalent (GED),28,13.93%
Vocational degree,12,5.97%
"Some college, no degree",63,31.34%
Associate's degree,29,14.43%
Bachelor's degree,35,17.41%
Master's degree,27,13.43%
"Professional degree (MD, JD, DDS, DVM)",4,1.99%
"Doctorate (Ph.D, Ed.D, etc)",2,1.00%
