"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  333  avg =  56.59"
"response","count","percent_responded"
"100","100","30.03"
"0","68","20.42"
"70","21","6.31"
"90","18","5.41"
"60","17","5.11"
"10","16","4.8"
"80","16","4.8"
"50","11","3.3"
"20","10","3"
"30","10","3"
"40","7","2.1"
"1","5","1.5"
"99","4","1.2"
"3","3","0.9"
"92","3","0.9"
"22","2","0.6"
"51","2","0.6"
"6","2","0.6"
"75","2","0.6"
"81","2","0.6"
"93","2","0.6"
"11","1","0.3"
"14","1","0.3"
"23","1","0.3"
"31","1","0.3"
"47","1","0.3"
"49","1","0.3"
"64","1","0.3"
"87","1","0.3"
"9","1","0.3"
"94","1","0.3"
"97","1","0.3"
"98","1","0.3"
